user_id,campaign_type,event_name,event_time
user_31,insurance,event_participation,2024-01-05 18:32:59
user_31,insurance,click_diagnosis,2024-01-05 18:33:04
user_31,insurance,identity_verification,2024-01-05 18:33:11
user_46,insurance,event_participation,2024-01-07 03:20:22
user_57,loan,click_compare,2024-01-07 08:00:12
user_114,loan,click_compare,2024-01-13 06:13:56
user_85,loan,click_compare,2024-01-15 11:03:52
user_85,loan,check_limit,2024-01-15 11:03:54
user_161,card,card_select,2024-01-18 14:56:30
user_161,card,identity_verification,2024-01-18 14:56:33
user_10,loan,click_compare,2024-01-18 17:11:55
user_10,loan,check_limit,2024-01-18 17:11:57
user_52,card,card_select,2024-01-19 02:14:22
user_75,card,card_select,2024-01-21 17:05:48
user_75,card,identity_verification,2024-01-21 17:05:49
user_222,insurance,event_participation,2024-01-23 07:30:11
user_222,insurance,click_diagnosis,2024-01-23 07:30:21
user_4,loan,click_compare,2024-01-24 14:30:20
user_4,loan,check_limit,2024-01-24 14:30:22
user_163,insurance,event_participation,2024-01-24 20:08:14
user_163,insurance,click_diagnosis,2024-01-24 20:08:24
user_105,insurance,event_participation,2024-01-27 07:46:21
user_105,insurance,click_diagnosis,2024-01-27 07:46:29
user_136,insurance,event_participation,2024-01-28 09:54:34
user_34,loan,click_compare,2024-01-30 06:59:10
user_34,loan,check_limit,2024-01-30 06:59:19
user_65,insurance,event_participation,2024-01-31 00:46:20
user_65,insurance,click_diagnosis,2024-01-31 00:46:22
user_65,insurance,identity_verification,2024-01-31 00:46:30
user_225,card,card_select,2024-01-31 03:22:40
user_225,card,identity_verification,2024-01-31 03:22:46
user_130,insurance,event_participation,2024-02-01 00:04:40
user_130,insurance,click_diagnosis,2024-02-01 00:04:46
user_130,insurance,identity_verification,2024-02-01 00:04:48
user_130,insurance,click_consult,2024-02-01 00:04:56
user_66,card,card_select,2024-02-02 11:42:15
user_35,loan,click_compare,2024-02-03 04:34:54
user_35,loan,check_limit,2024-02-03 04:34:56
user_288,loan,click_compare,2024-02-03 19:40:47
user_288,loan,check_limit,2024-02-03 19:40:54
user_274,insurance,event_participation,2024-02-05 03:49:41
user_33,loan,click_compare,2024-02-05 08:31:07
user_248,insurance,event_participation,2024-02-07 10:57:07
user_248,insurance,click_diagnosis,2024-02-07 10:57:13
user_248,insurance,identity_verification,2024-02-07 10:57:21
user_244,loan,click_compare,2024-02-07 13:01:15
user_20,card,card_select,2024-02-08 00:26:07
user_20,card,identity_verification,2024-02-08 00:26:10
user_153,loan,click_compare,2024-02-08 11:32:14
user_153,loan,check_limit,2024-02-08 11:32:16
user_153,loan,agree_terms,2024-02-08 11:32:18
user_40,card,card_select,2024-02-09 08:37:46
user_40,card,identity_verification,2024-02-09 08:37:49
user_294,loan,click_compare,2024-02-09 16:42:22
user_337,loan,click_compare,2024-02-09 19:53:11
user_337,loan,check_limit,2024-02-09 19:53:13
user_200,loan,click_compare,2024-02-10 03:27:53
user_186,insurance,event_participation,2024-02-10 05:21:53
user_186,insurance,click_diagnosis,2024-02-10 05:21:55
user_186,insurance,identity_verification,2024-02-10 05:22:01
user_337,insurance,event_participation,2024-02-10 13:17:15
user_337,insurance,click_diagnosis,2024-02-10 13:17:21
user_337,insurance,identity_verification,2024-02-10 13:17:22
user_38,loan,click_compare,2024-02-10 20:00:25
user_38,loan,check_limit,2024-02-10 20:00:35
user_328,card,card_select,2024-02-12 20:24:57
user_328,card,identity_verification,2024-02-12 20:24:59
user_85,insurance,event_participation,2024-02-13 13:52:50
user_47,loan,click_compare,2024-02-13 19:03:46
user_230,insurance,event_participation,2024-02-13 19:41:34
user_230,insurance,click_diagnosis,2024-02-13 19:41:43
user_230,insurance,identity_verification,2024-02-13 19:41:50
user_182,card,card_select,2024-02-14 05:32:03
user_338,insurance,event_participation,2024-02-14 07:48:31
user_338,insurance,click_diagnosis,2024-02-14 07:48:38
user_338,insurance,identity_verification,2024-02-14 07:48:39
user_307,card,card_select,2024-02-14 09:22:03
user_307,card,identity_verification,2024-02-14 09:22:07
user_227,card,card_select,2024-02-14 13:33:35
user_227,card,identity_verification,2024-02-14 13:33:38
user_339,card,card_select,2024-02-15 00:35:27
user_339,card,identity_verification,2024-02-15 00:35:36
user_313,card,card_select,2024-02-15 05:20:07
user_409,loan,click_compare,2024-02-15 13:32:08
user_220,loan,click_compare,2024-02-15 17:36:02
user_220,loan,check_limit,2024-02-15 17:36:10
user_184,loan,click_compare,2024-02-16 14:18:03
user_105,card,card_select,2024-02-16 21:42:21
user_105,card,identity_verification,2024-02-16 21:42:31
user_122,insurance,event_participation,2024-02-17 04:53:23
user_122,insurance,click_diagnosis,2024-02-17 04:53:29
user_99,loan,click_compare,2024-02-17 06:24:48
user_99,loan,check_limit,2024-02-17 06:24:51
user_232,loan,click_compare,2024-02-17 06:33:45
user_232,loan,check_limit,2024-02-17 06:33:47
user_232,loan,agree_terms,2024-02-17 06:33:53
user_13,insurance,event_participation,2024-02-17 12:45:56
user_391,card,card_select,2024-02-17 18:11:33
user_391,card,identity_verification,2024-02-17 18:11:40
user_443,card,card_select,2024-02-19 03:53:17
user_267,insurance,event_participation,2024-02-19 08:25:30
user_267,insurance,click_diagnosis,2024-02-19 08:25:39
user_309,card,card_select,2024-02-19 10:09:18
user_309,card,identity_verification,2024-02-19 10:09:21
user_309,card,join_event,2024-02-19 10:09:28
user_291,loan,click_compare,2024-02-20 12:05:56
user_262,loan,click_compare,2024-02-20 12:14:18
user_262,loan,check_limit,2024-02-20 12:14:25
user_31,loan,click_compare,2024-02-20 13:26:58
user_31,loan,check_limit,2024-02-20 13:27:06
user_354,insurance,event_participation,2024-02-21 10:42:13
user_354,insurance,click_diagnosis,2024-02-21 10:42:15
user_170,insurance,event_participation,2024-02-21 17:13:20
user_170,insurance,click_diagnosis,2024-02-21 17:13:22
user_170,insurance,identity_verification,2024-02-21 17:13:29
user_161,loan,click_compare,2024-02-21 23:15:37
user_161,loan,check_limit,2024-02-21 23:15:41
user_6,insurance,event_participation,2024-02-22 07:19:20
user_6,insurance,click_diagnosis,2024-02-22 07:19:26
user_6,insurance,identity_verification,2024-02-22 07:19:29
user_45,insurance,event_participation,2024-02-22 08:04:37
user_45,insurance,click_diagnosis,2024-02-22 08:04:38
user_473,insurance,event_participation,2024-02-22 08:56:58
user_473,insurance,click_diagnosis,2024-02-22 08:57:08
user_473,insurance,identity_verification,2024-02-22 08:57:09
user_408,loan,click_compare,2024-02-23 01:30:42
user_408,loan,check_limit,2024-02-23 01:30:50
user_178,insurance,event_participation,2024-02-23 01:45:34
user_178,insurance,click_diagnosis,2024-02-23 01:45:36
user_178,insurance,identity_verification,2024-02-23 01:45:45
user_202,card,card_select,2024-02-23 07:26:20
user_202,card,identity_verification,2024-02-23 07:26:27
user_336,card,card_select,2024-02-23 09:09:37
user_422,loan,click_compare,2024-02-23 15:14:34
user_286,loan,click_compare,2024-02-23 20:01:06
user_167,card,card_select,2024-02-24 04:01:33
user_167,card,identity_verification,2024-02-24 04:01:36
user_228,card,card_select,2024-02-25 01:16:04
user_228,card,identity_verification,2024-02-25 01:16:05
user_39,loan,click_compare,2024-02-25 01:55:11
user_39,loan,check_limit,2024-02-25 01:55:20
user_454,loan,click_compare,2024-02-25 16:56:53
user_454,loan,check_limit,2024-02-25 16:56:56
user_112,insurance,event_participation,2024-02-27 14:56:11
user_112,insurance,click_diagnosis,2024-02-27 14:56:17
user_189,insurance,event_participation,2024-02-28 18:11:18
user_189,insurance,click_diagnosis,2024-02-28 18:11:27
user_189,insurance,identity_verification,2024-02-28 18:11:36
user_332,card,card_select,2024-02-29 18:11:55
user_332,card,identity_verification,2024-02-29 18:11:58
user_530,loan,click_compare,2024-03-01 09:21:44
user_530,loan,check_limit,2024-03-01 09:21:50
user_530,loan,agree_terms,2024-03-01 09:21:51
user_83,insurance,event_participation,2024-03-01 17:17:30
